6,E,Paton Street (Stop EQ),"53.4793, -2.2329",out of town,,Time Table,0,0,http://www.flickr.com/photos/madlabuk/5738022444/,,
6,F,Paton Street (Stop EQ),"53.4793, -2.2329",out of town,,Seat,7,3,http://www.flickr.com/photos/madlabuk/5737470977/,,
6,G,Paton Street (Stop EP),"53.4803, -2.2337",out of town,,Time Table,4,2,http://www.flickr.com/photos/madlabuk/5738022762/,,
6,H,Paton Street (Stop EP),"53.4803, -2.2337",out of town,,Seat,0,0,http://www.flickr.com/photos/madlabuk/5737471175/,,
6,I,Portland Street nr. Tesco (Stop EW),"53.4806, -2.2345",Into town,,Time Table,4,2,http://www.flickr.com/photos/madlabuk/5738023030/,,
6,J,Portland Street nr. Tesco (Stop EW),"53.4806, -2.2345",Into town,,Seat,1,1,http://www.flickr.com/photos/madlabuk/5738023196/,,
7,A,Newton Street,"53.48129,-2.23363",Out of town,,Time Table,3,2,http://www.flickr.com/photos/madlabuk/5736857349/in/set-72157626752827976,Off White,
7,B,Newton Street,"53.48129,-2.23363",Out of town,,Bus Pole,6,1,http://www.flickr.com/photos/madlabuk/5737408158/in/set-72157626752827976,Off White,
7,C,"Manchester City Centre, Portland Street/Chorlton St (Stop Cu)","53.47843,-2.23844",Out of town,,Bus Stop,22,3,http://www.flickr.com/photos/madlabuk/5737408488/in/set-72157626752827976,Bright Red,
7,D,"Manchester City Centre, Portland Street/Chorlton St (Stop Cu)","53.47843,-2.23844",Out of town,,Time Table,58,4,http://www.flickr.com/photos/madlabuk/5737408660/in/set-72157626752827976,Bright Red,
7,E,"Manchester City Centre, Portland Street/Sackville Street (SW-bound)‎","53.47832,-2.23858",Out of town,,Seat,118,3,http://www.flickr.com/photos/madlabuk/5736857785/in/set-72157626752827976,Yellow,
7,F,"Manchester City Centre, Portland Street/Sackville Street (SW-bound)‎","53.47832,-2.23858",Out of town,,Time Table,12,2,http://www.flickr.com/photos/madlabuk/5737408918/in/set-72157626752827976,Bright Red,
7,G,"Manchester City Centre, Chepstow St/Oxford St (Stop SV)‎","53.47957,-2.24312",Out of town,,Bus Stop,2,1,http://www.flickr.com/photos/madlabuk/5736858165/in/set-72157626752827976,Yellow,
7,H,"Manchester City Centre, Chepstow St/Oxford St (Stop SV)‎","53.47957,-2.24312",Out of town,,Bus Pole,2,2,http://www.flickr.com/photos/madlabuk/5737409282/in/set-72157626752827976,Bright Red,
7,I,"Piccadilly Gardens, Portland Street/Chorlton St (NE-bound)‎","53.47907,-2.23801",Into town,,Time Table,4,3,http://www.flickr.com/photos/madlabuk/5736858505/in/set-72157626752827976,Yellow,
